"age_group","year","births"
"15-19",2010,1257
"15-19",2011,1205
"15-19",2012,1038
"15-19",2013,954
"15-19",2014,891
"15-19",2015,783
"15-19",2016,788
"15-19",2017,807
"15-19",2018,790
"15-19",2019,627
"15-19",2020,512
"15-19",2021,453
"15-19",2022,408
"15-19",2023,356
"20-24",2010,13596
"20-24",2011,13254
"20-24",2012,13353
"20-24",2013,13051
"20-24",2014,12502
"20-24",2015,11895
"20-24",2016,11413
"20-24",2017,10560
"20-24",2018,10113
"20-24",2019,9152
"20-24",2020,8113
"20-24",2021,7470
"20-24",2022,6685
"20-24",2023,6141
"25-29",2010,31323
"25-29",2011,30526
"25-29",2012,31378
"25-29",2013,32144
"25-29",2014,33799
"25-29",2015,35026
"25-29",2016,36000
"25-29",2017,35164
"25-29",2018,34986
"25-29",2019,33633
"25-29",2020,32033
"25-29",2021,30134
"25-29",2022,26488
"25-29",2023,24063
"30-48",2010,69460
"30-48",2011,66782
"30-48",2012,67406
"30-48",2013,67441
"30-48",2014,67713
"30-48",2015,67163
"30-48",2016,69217
"30-48",2017,68883
"30-48",2018,69939
"30-48",2019,71110
"30-48",2020,72415
"30-48",2021,76205
"30-48",2022,71149
"30-48",2023,69488
