age_group,year,births_per_1000,asfr,births,total_population
15-19,2010,4.183989002466457,0.004183989002466457,1257,300431
15-19,2011,4.189730466468249,0.004189730466468249,1205,287608
15-19,2012,3.790576145663296,0.003790576145663296,1038,273837
15-19,2013,3.6296673946293097,0.0036296673946293097,954,262834
15-19,2014,3.5053760902663846,0.003505376090266385,891,254181
15-19,2015,3.113939152913104,0.003113939152913104,783,251450
15-19,2016,3.1141690740879793,0.003114169074087979,788,253037
15-19,2017,3.1185272204532106,0.0031185272204532107,807,258776
15-19,2018,2.973155044390334,0.0029731550443903338,790,265711
15-19,2019,2.2980754076609844,0.0022980754076609845,627,272837
15-19,2020,1.8382154948641265,0.0018382154948641265,512,278531
15-19,2021,1.5816542077937494,0.0015816542077937495,453,286409
15-19,2022,1.3957880044336797,0.0013957880044336796,408,292308
15-19,2023,1.1991498162538694,0.0011991498162538694,356,296877
15-19,2024,1.0296206294921753,0.0010296206294921752,311,302053
20-24,2010,43.997864181350415,0.04399786418135042,13596,309015
20-24,2011,41.68278438735364,0.04168278438735364,13254,317973
20-24,2012,41.01308745342912,0.041013087453429124,13353,325579
20-24,2013,39.79545787188369,0.03979545787188369,13051,327952
20-24,2014,38.23873055489286,0.03823873055489286,12502,326946
20-24,2015,37.37627651217596,0.03737627651217596,11895,318250
20-24,2016,36.916398734627606,0.036916398734627605,11413,309158
20-24,2017,35.50964409652167,0.035509644096521666,10560,297384
20-24,2018,35.30767216548835,0.03530767216548835,10113,286425
20-24,2019,33.03076784264188,0.03303076784264188,9152,277075
20-24,2020,29.83093474919659,0.02983093474919659,8113,271966
20-24,2021,27.55999926211515,0.027559999262115147,7470,271045
20-24,2022,24.2970749011398,0.0242970749011398,6685,275136
20-24,2023,21.86467471801299,0.02186467471801299,6141,280864
20-24,2024,20.200615406011508,0.020200615406011507,5810,287615
25-29,2010,110.79982596330372,0.11079982596330372,31323,282699
25-29,2011,105.54814082305836,0.10554814082305836,30526,289214
25-29,2012,105.57660343330888,0.10557660343330888,31378,297206
25-29,2013,104.19651597762031,0.10419651597762031,32144,308494
25-29,2014,105.45150491237594,0.10545150491237594,33799,320517
25-29,2015,105.0475362144978,0.10504753621449779,35026,333430
25-29,2016,103.90510000865875,0.10390510000865875,36000,346470
25-29,2017,98.59940835868605,0.09859940835868605,35164,356635
25-29,2018,97.08247542830503,0.09708247542830503,34986,360374
25-29,2019,93.50005977020442,0.09350005977020441,33633,359711
25-29,2020,91.94791923807774,0.09194791923807774,32033,348382
25-29,2021,89.624773960217,0.089624773960217,30134,336224
25-29,2022,81.83441568472371,0.0818344156847237,26488,323678
25-29,2023,77.46789475209178,0.07746789475209179,24063,310619
25-29,2024,73.76575019116328,0.07376575019116327,22188,300790
30-48,2010,59.14318167497986,0.05914318167497986,69460,1174438
30-48,2011,56.735070109635245,0.056735070109635244,66782,1177085
30-48,2012,57.20260053480519,0.05720260053480519,67406,1178373
30-48,2013,57.36222722726128,0.05736222722726128,67441,1175704
30-48,2014,57.59979992803534,0.057599799928035336,67713,1175577
30-48,2015,57.00630130847214,0.05700630130847214,67163,1178168
30-48,2016,58.2665088582064,0.0582665088582064,69217,1187938
30-48,2017,57.30307915766146,0.05730307915766146,68883,1202082
30-48,2018,57.26199579821613,0.05726199579821613,69939,1221386
30-48,2019,57.385463102543326,0.057385463102543326,71110,1239164
30-48,2020,57.72658571738326,0.05772658571738326,72415,1254448
30-48,2021,59.96639898646123,0.05996639898646123,76205,1270795
30-48,2022,55.20673135864007,0.05520673135864007,71149,1288774
30-48,2023,53.56153201644276,0.05356153201644276,69488,1297349
30-48,2024,53.61381268302975,0.05361381268302975,70137,1308189
