age_group,year,total_population
15-19,2010,300431
15-19,2011,287608
15-19,2012,273837
15-19,2013,262834
15-19,2014,254181
15-19,2015,251450
15-19,2016,253037
15-19,2017,258776
15-19,2018,265711
15-19,2019,272837
15-19,2020,278531
15-19,2021,286409
15-19,2022,292308
15-19,2023,296877
15-19,2024,302053
20-24,2010,309015
20-24,2011,317973
20-24,2012,325579
20-24,2013,327952
20-24,2014,326946
20-24,2015,318250
20-24,2016,309158
20-24,2017,297384
20-24,2018,286425
20-24,2019,277075
20-24,2020,271966
20-24,2021,271045
20-24,2022,275136
20-24,2023,280864
20-24,2024,287615
25-29,2010,282699
25-29,2011,289214
25-29,2012,297206
25-29,2013,308494
25-29,2014,320517
25-29,2015,333430
25-29,2016,346470
25-29,2017,356635
25-29,2018,360374
25-29,2019,359711
25-29,2020,348382
25-29,2021,336224
25-29,2022,323678
25-29,2023,310619
25-29,2024,300790
30-48,2010,1174438
30-48,2011,1177085
30-48,2012,1178373
30-48,2013,1175704
30-48,2014,1175577
30-48,2015,1178168
30-48,2016,1187938
30-48,2017,1202082
30-48,2018,1221386
30-48,2019,1239164
30-48,2020,1254448
30-48,2021,1270795
30-48,2022,1288774
30-48,2023,1297349
30-48,2024,1308189
