year,ASFR_1000,affordability_index
1971,56.50026429104221,100
1972,55.14881820416408,90.63139712900116
1973,53.796445187827324,89.7917707919435
1974,53.935593986800626,88.19543935622475
1975,50.714576203952404,90.5912061352188
1976,48.11324713864912,89.97214504751395
1977,46.92645941988205,97.3676270847111
1978,45.64652033695073,101.49845875526812
1979,47.31900305349908,104.55497342258828
1980,47.88738771732562,98.72750752450632
1981,46.612421377026685,88.44418212729305
1982,46.208849040557816,82.2525111047147
1983,46.029874171099905,77.32577026825074
1984,47.14392754592066,73.29159860722673
1985,49.48767536076768,70.98779247524746
1986,51.18338826226173,69.48841373406543
1987,52.44576990739668,73.64390450002794
1988,55.93275648594145,80.56439028936104
1989,57.387566443922175,87.07227577227977
1990,60.79234269826682,89.79292488540787
1991,60.27372254610144,90.98102701110685
1992,59.55509533526134,78.79175050270078
1993,56.8967155179394,67.85320901447302
1994,53.779017030962784,68.12599949805241
1995,49.64204155789207,64.81855789287735
1996,45.86136275402776,61.2930987815604
1997,43.71388778053589,62.574736167489576
1998,43.111401163755964,66.1594904290686
1999,42.86810715804531,71.0524735920141
2000,44.09253796893334,76.44576089982044
2001,44.751861008277,80.12947408107239
2002,47.128816707585216,82.40121299418021
2003,48.94188373653837,85.37439536744259
2004,49.9680890119195,90.88985167731026
2005,50.29344057351703,96.2442824049976
2006,52.58878007234313,104.9347854723361
2007,53.32646834278927,113.8100844233511
2008,54.06297020845094,110.7353655804982
2009,54.84914583431294,112.04595416827776
2010,56.24942308394214,117.1167993629397
2011,53.90087030826863,116.94269851709728
2012,54.025345345912896,114.23022299115834
2013,53.54380526925866,117.70702368428972
2014,53.42479289685918,125.89446564518288
2015,52.612343074387745,138.73713671859412
2016,52.64148612845056,147.3987044952771
2017,50.73239675862693,154.07437973639327
2018,50.02535859140591,148.3340178574769
2019,48.809002611516576,148.5204077218975
2020,47.86977833133237,153.31392927656032
2021,47.96619221192568,164.63522332507367
2022,43.664612654373435,166.75578378542713
2023,41.69597746978073,151.99173753696377
2024,41.00240156350816,146.16003039747488
