year,pct_married,ASFR_1000
1971,55.53140129597418,56.50026429104221
1972,54.51022430377125,55.14881820416408
1973,53.39591207138368,53.79644518782733
1974,52.290408992801815,53.935593986800626
1975,51.17313916961554,50.7145762039524
1976,50.304652419531614,48.11324713864912
1977,49.22442844328072,46.92645941988205
1978,48.002039133624706,45.64652033695073
1979,46.680538637264014,47.31900305349908
1980,45.42201540352426,47.88738771732562
1981,44.24783493593072,46.612421377026685
1982,43.10116115248732,46.208849040557816
1983,42.06138705360748,46.029874171099905
1984,41.129825499100214,47.14392754592066
1985,40.30180696333098,49.48767536076768
1986,39.52995894317861,51.18338826226173
1987,38.90275115309966,52.44576990739668
1988,38.49538984623588,55.93275648594145
1989,40.387539417001705,57.387566443922175
1990,40.405707640333844,60.79234269826682
1991,39.547725191643,60.27372254610144
1992,38.601766373722675,59.55509533526134
1993,37.58721539140842,56.8967155179394
1994,36.64108596839162,53.779017030962784
1995,35.51841085391581,49.64204155789207
1996,34.44396197350358,45.86136275402776
1997,33.412936768993404,43.71388778053589
1998,32.45215925330475,43.11140116375597
1999,31.678644321959784,42.86810715804531
2000,31.144474410955308,44.09253796893334
2001,30.442540715818218,44.751861008277
2002,29.865349207924602,47.128816707585216
2003,29.36817699575904,48.94188373653837
2004,29.043423410694952,49.9680890119195
2005,28.769570548485216,50.29344057351703
2006,28.704451210542913,52.58878007234313
2007,28.758522754904536,53.32646834278927
2008,28.90901742166318,54.06297020845094
2009,28.939416171758353,54.84914583431294
2010,29.076117185218216,56.24942308394214
2011,29.158229221337418,53.90087030826863
2012,29.329639379528984,54.025345345912896
2013,29.2283254598573,53.54380526925866
2014,29.254279657538,53.42479289685918
2015,29.27442399873757,52.612343074387745
2016,29.3555458335896,52.64148612845056
2017,29.30818387497079,50.73239675862693
2018,29.17184293274722,50.02535859140591
2019,28.885231553067946,48.809002611516576
2020,28.115437648003194,47.86977833133237
2021,27.48876462391175,47.96619221192568
2022,27.314546264245212,43.664612654373435
2023,26.910150913698274,41.69597746978073
2024,26.530972774328976,41.00240156350816
