observation_date,LCEAMN01SEA661N
1971-01-01,7.286686
1972-01-01,8.647230
1973-01-01,9.358601
1974-01-01,10.387270
1975-01-01,11.923230
1976-01-01,14.046160
1977-01-01,14.984940
1978-01-01,16.293490
1979-01-01,17.556850
1980-01-01,19.109820
1981-01-01,21.128280
1982-01-01,22.963070
1983-01-01,24.591350
1984-01-01,26.933920
1985-01-01,28.962590
1986-01-01,31.107390
1987-01-01,33.120020
1988-01-01,35.760930
1989-01-01,39.314870
1990-01-01,42.657920
1991-01-01,44.995140
1992-01-01,47.060250
1993-01-01,48.590870
1994-01-01,50.607390
1995-01-01,53.338190
1996-01-01,56.865890
1997-01-01,59.382900
1998-01-01,61.511180
1999-01-01,62.638480
2000-01-01,64.747330
2001-01-01,66.656950
2002-01-01,68.926140
2003-01-01,70.947530
2004-01-01,72.857140
2005-01-01,75.014580
2006-01-01,77.283770
2007-01-01,80.131200
2008-01-01,83.294460
2009-01-01,84.897960
2010-01-01,87.619050
2011-01-01,90.029150
2012-01-01,93.309040
2013-01-01,95.223520
2014-01-01,97.424680
2015-01-01,100.000000
2016-01-01,101.880500
2017-01-01,103.945600
2018-01-01,106.958200
2019-01-01,109.470400
2020-01-01,110.500500
2021-01-01,113.299300
2022-01-01,116.098200
2023-01-01,120.466500
2024-01-01,125.320700
