year,real_price,nom_wages,cpi,real_wages,price_rebased,rwages_rebased,affordability_index
1971,48.300625000000004,7.286686,14.19048,51.34911574520382,99.99999999999999,100,99.99999999999999
1972,49.0052,8.64723,15.04296,57.48356706392891,101.45872853612143,111.94655687775514,90.63139712900116
1973,49.23755,9.358601,16.053539999999998,58.296182648811424,101.93977821197966,113.5290877024625,89.7917707919435
1974,48.837375,10.38727,17.64473,58.868965407801646,101.11126926411407,114.64455532187077,88.19543935622475
1975,52.452,11.92323,19.37036,61.553992801372814,108.5948680788292,119.87352052332501,90.59120613521881
1976,55.663725,14.04616,21.35567,65.77250912755255,115.24431619673656,128.0888836604668,89.97214504751395
1977,57.6671,14.98494,23.79914,62.96420795037131,119.3920368525252,122.61984853410524,97.3676270847111
1978,59.423475,16.29349,26.17793,62.2413231298273,123.02837696199585,121.21206417394022,101.49845875526813
1979,61.52355,17.55685,28.0653,62.55714351886493,127.37630206648463,121.82710960257964,104.55497342258828
1980,55.610925,19.10982,31.91203,59.88280908484982,115.13500084108641,116.61896843947711,98.72750752450631
1981,49.133525,21.12828,35.774640000000005,59.05937837529601,101.72440832804958,115.01537566557289,88.44418212729305
1982,45.733775,22.96307,38.84739,59.11097244885693,94.68567953313234,115.11585270945604,82.2525111047147
1983,42.29065,24.59135,42.29432,58.14338662969401,87.55714858762178,113.231524605416,77.32577026825074
1984,40.634025,26.93392,45.69658,58.94077850027289,84.12732754493342,114.78440795892023,73.29159860722673
1985,39.4152,28.96259,49.0656,59.02830088697579,81.60391299284429,114.95485371135965,70.98779247524746
1986,39.755875,31.10739,51.14397,60.82318208774171,82.30923512894502,118.45030085726998,69.48841373406543
1987,43.0559,33.12002,53.28617,62.155001945157615,89.14149661624461,121.04395770624951,73.64390450002794
1988,48.0584,35.76093,56.39004,63.417103445927694,99.49850545412197,123.50184131817512,80.56439028936104
1989,53.645825,39.31487,60.0234,65.49923863026751,111.06652346631125,127.55670215486693,87.07227577227977
1990,54.38805,42.65792,66.24576,64.39343438734795,112.60320130433095,125.40320013857789,89.79292488540787
1991,53.1109,44.99514,72.50243,62.06018198286595,109.95903262121348,120.85930026684555,90.98102701110685
1992,46.9906,47.06025,74.2239,63.40309522943419,97.28776801542423,123.47456097207723,78.79175050270078
1993,39.89675,48.59087,77.73334,62.50969017927186,82.60089802150593,121.73469644433064,67.85320901447302
1994,40.838175,50.60739,79.41093000000002,63.72849430172898,84.54999288311487,124.1082604381195,68.12599949805241
1995,39.97085,53.33819,81.36058,65.55777994699645,82.75431218540132,127.67070862971924,64.81855789287735
1996,40.082975000000005,56.86589,81.79434,69.52301345056394,82.9864520386641,135.39281532235077,61.293098781560396
1997,42.45285,59.3829,82.33289,72.12536812445184,87.89296204759255,140.46077927094314,62.574736167489576
1998,46.618075000000005,61.51118,82.11295,74.91044956976945,96.51650470361409,145.88459505608205,66.1594904290686
1999,50.748825000000004,62.63848,82.49245,75.93237926622376,105.06867147164245,147.87475531809153,71.0524735920141
2000,55.93625,64.74733,83.23418000000001,77.78935288363506,115.80854285011839,151.49112453976554,76.44576089982044
2001,58.942775,66.65695,85.23676,78.20211608231001,122.03315174493083,152.29496155367457,80.12947408107239
2002,61.353025,68.92614,87.07658,79.15577299889361,127.02325280469972,154.15216377175304,82.40121299418021
2003,64.1948,70.94753,88.75336999999999,79.93784348695718,132.9067688047515,155.6752094497823,85.37439536744259
2004,69.9202,72.85714,89.08501,81.78383770737636,144.76044564640725,159.27019680960183,90.88985167731026
2005,75.88782499999999,75.01458,89.48872,83.82573803715148,157.11561703394105,163.2467021498439,96.24428240499759
2006,84.099175,77.28377,90.70596,85.20252693428304,174.11612168579597,165.92793409931554,104.9347854723361
2007,92.526,80.1312,92.71252,86.42975080388281,191.56273857739936,168.31789515665739,113.8100844233511
2008,90.47065,83.29446,95.8991,86.85635214511919,187.30741061839262,169.1486813056403,110.73536558049821
2009,93.7673,84.89796,95.42492,88.96833238110129,194.13268461847028,173.26166398378777,112.04595416827776
2010,99.994375,87.61905,96.52992,90.76879997414274,207.02501261629635,176.76799036723597,117.1167993629397
2011,99.6416,90.02915,99.38832,90.58322949819456,206.2946390445258,176.40660054921264,116.94269851709728
2012,99.988,93.30904,100.2713,93.0565775052283,207.01181402932153,181.22333005105372,114.23022299115834
2013,105.19185,95.22352,100.2269,95.00794696832887,217.78569117894435,185.02353076489527,117.70702368428971
2014,115.3167,97.42468,100.0468,97.37910657812144,238.74784228982543,189.6412531450787,125.89446564518289
2015,130.5006,100,100,100,270.18408146892506,194.74532043785067,138.73713671859412
2016,139.8784,101.8805,100.9843,100.8874646851045,289.5995652230173,196.47361638263015,147.3987044952771
2017,146.5475,103.9456,102.7964,101.11793798226397,303.4070470102613,196.92245234370708,154.07437973639327
2018,142.39485000000002,106.9582,104.8046,102.05487163731364,294.8095392140371,198.74708679252362,148.3340178574769
2019,143.364625,109.4704,106.6745,102.62096377297291,296.81732896831045,199.84952473608675,148.5204077218975
2020,148.6451,110.5005,107.205,103.07401707009936,307.749847957454,200.73182483132987,153.31392927656032
2021,160.1991,113.2993,109.5241,103.44691259731876,331.6708634722635,201.4580214207117,164.63522332507367
2022,153.429975,116.0982,118.6905,97.81591618537288,317.6562932674267,190.49191941442385,166.75578378542713
2023,133.6798,120.4665,128.83690000000001,93.50310353633158,276.7661909136786,182.0929186011642,151.99173753696377
2024,130.04285,125.3207,132.4905,94.58844219019478,269.23637116496934,184.20656484046594,146.16003039747488
